match_id,created,city,dates,event_name,match_number,gender,match_type,match_type_number,toss_winner,toss_decision,outcome_winner,outcome_by_runs,outcome_by_wickets,overs,player_of_match,season,teams,venue,total_fours,total_sixes
868727,2015-05-26,Lahore,2015-05-26,Zimbabwe in Pakistan ODI Series,1.0,male,ODI,3651,Pakistan,bat,Pakistan,41.0,,50,Shoaib Malik,2015,"Pakistan, Zimbabwe",Gaddafi Stadium,67,17
65267,2023-01-15,Johannesburg,2003-03-01,ICC World Cup,35.0,male,ODI,1974,Kenya,bat,Kenya,32.0,,50,MO Odumbe,2002/03,"Kenya, Bangladesh","New Wanderers Stadium, Johannesburg",32,4
1445036,2024-08-20,The Hague,2024-08-15,ICC Men's Cricket World Cup League 2,21.0,male,ODI,4757,United States of America,field,Netherlands,19.0,,50,SA Edwards,2024,"Netherlands, United States of America","Sportpark Westvliet, The Hague",38,2
65637,2023-01-16,Brisbane,2003-01-15,VB Series,9.0,male,ODI,1936,Sri Lanka,bat,Australia,,4.0,50,MG Bevan,2002/03,"Sri Lanka, Australia","Brisbane Cricket Ground, Woolloongabba, Brisbane",24,2
64925,2020-12-04,Port Elizabeth,2005-02-04,England tour of South Africa,3.0,male,ODI,2221,England,bat,South Africa,,3.0,50,GC Smith,2004/05,"England, South Africa",St George's Park,44,3
416240,2009-11-06,Hyderabad,2009-11-05,Australia in India ODI Series,5.0,male,ODI,2923,Australia,bat,Australia,3.0,,50,SR Tendulkar,2009/10,"India, Australia","Rajiv Gandhi International Stadium, Uppal",55,22
538070,2011-12-08,Mirpur,2011-12-03,Pakistan in Bangladesh ODI Series,2.0,male,ODI,3220,Pakistan,bat,Pakistan,76.0,,50,Nasir Hossain,2011/12,"Bangladesh, Pakistan",Shere Bangla National Stadium,35,4
426422,2010-03-27,Chittagong,2010-03-05,England in Bangladesh ODI Series,3.0,male,ODI,2968,Bangladesh,field,England,45.0,,50,C Kieswetter,2009/10,"Bangladesh, England",Zohur Ahmed Chowdhury Stadium,41,8
656417,2015-02-21,Christchurch,2015-02-21,ICC Cricket World Cup,10.0,male,ODI,3608,Pakistan,field,West Indies,150.0,,50,AD Russell,2014/15,"Pakistan, West Indies",Hagley Oval,42,9
745159,2014-08-23,Hambantota,2014-08-23,Pakistan in Sri Lanka ODI Series,1.0,male,ODI,3512,Pakistan,field,Pakistan,,4.0,50,Sohaib Maqsood,2014,"Sri Lanka, Pakistan","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",62,3
247468,2015-09-23,Trinidad,2007-03-19,ICC World Cup,12.0,male,ODI,2542,Bermuda,field,India,257.0,,50,V Sehwag,2006/07,"Bermuda, India","Queen's Park Oval, Port of Spain",45,20
1243395,2021-03-28,Pune,2021-03-28,England tour of India,3.0,male,ODI,4284,England,field,India,7.0,,50,SM Curran,2020/21,"India, England",Maharashtra Cricket Association Stadium,61,18
913625,2016-06-25,Birmingham,2016-06-24,Sri Lanka in England ODI Series,2.0,male,ODI,3753,Sri Lanka,bat,England,,10.0,50,JJ Roy,2016,"England, Sri Lanka",Edgbaston,34,13
1031667,2020-06-02,Manchester,2017-09-19,West Indies tour of England,1.0,male,ODI,3911,West Indies,bat,England,,7.0,50,JM Bairstow,2017,"West Indies, England",Old Trafford,35,7
1122283,2020-05-15,Port Elizabeth,2018-02-13,India tour of South Africa,5.0,male,ODI,3976,South Africa,field,India,73.0,,50,RG Sharma,2017/18,"India, South Africa",St George's Park,40,8
66365,2022-06-20,Gwalior,2003-10-26,TVS Cup (India),2.0,male,ODI,2052,India,bat,India,37.0,,50,SR Tendulkar,2003/04,"India, Australia","Captain Roop Singh Stadium, Gwalior",42,3
527014,2011-10-20,,2011-10-20,New Zealand in Zimbabwe ODI Series,1.0,male,ODI,3204,Zimbabwe,bat,New Zealand,,9.0,50,RJ Nicol,2011/12,"Zimbabwe, New Zealand",Harare Sports Club,32,9
247487,2015-09-26,Antigua,2007-04-02,ICC World Cup,31.0,male,ODI,2561,New Zealand,field,New Zealand,,9.0,50,SE Bond,2006/07,"Bangladesh, New Zealand","Sir Vivian Richards Stadium, North Sound",27,6
456665,2010-11-15,,2010-08-25,Sri Lanka Triangular Series,6.0,male,ODI,3039,India,bat,India,105.0,,50,V Sehwag,2010,"India, New Zealand",Rangiri Dambulla International Stadium,39,5
894291,2015-08-08,,2015-08-07,New Zealand in Zimbabwe ODI Series,3.0,male,ODI,3675,Zimbabwe,field,New Zealand,38.0,,50,KS Williamson,2015,"Zimbabwe, New Zealand",Harare Sports Club,40,9
668953,2013-10-31,Mirpur,2013-10-29,New Zealand in Bangladesh ODI Series,1.0,male,ODI,3423,New Zealand,field,Bangladesh,43.0,,50,Rubel Hossain,2013/14,"Bangladesh, New Zealand",Shere Bangla National Stadium,44,9
1358087,2023-03-11,Kirtipur,2023-03-09,ICC Men's Cricket World Cup League 2,135.0,male,ODI,4532,Papua New Guinea,field,Nepal,52.0,,50,Aasif Sheikh,2022/23,"Nepal, Papua New Guinea","Tribhuvan University International Cricket Ground, Kirtipur",47,13
602476,2013-03-29,,2013-03-28,Bangladesh in Sri Lanka ODI Series,3.0,male,ODI,3352,Sri Lanka,bat,Bangladesh,,3.0,50,TM Dilshan,2012/13,"Sri Lanka, Bangladesh",Pallekele International Cricket Stadium,48,4
64837,2023-01-12,Karachi,2003-09-21,Bangladesh tour of Pakistan,5.0,male,ODI,2045,Pakistan,bat,Pakistan,58.0,,50,Yasir Hameed,2003,"Pakistan, Bangladesh","National Stadium, Karachi",44,6
1408108,2023-12-17,Harare,2023-12-17,Ireland tour of Zimbabwe,3.0,male,ODI,4712,Ireland,field,Ireland,,7.0,50,A Balbirnie,2023/24,"Zimbabwe, Ireland",Harare Sports Club,30,5
65660,2020-12-04,Brisbane,2005-01-21,VB Series,4.0,male,ODI,2208,West Indies,bat,,,,50,,2004/05,"West Indies, Australia","Brisbane Cricket Ground, Woolloongabba",23,2
1420531,2024-02-19,Kirtipur,2024-02-19,ICC Men's Cricket World Cup League 2,3.0,male,ODI,4732,Netherlands,field,Netherlands,,7.0,50,A Dutt,2023/24,"Namibia, Netherlands","Tribhuvan University International Cricket Ground, Kirtipur",24,9
1153840,2020-04-07,Mount Maunganui,2019-01-03,Sri Lanka tour of New Zealand,1.0,male,ODI,4074,New Zealand,bat,New Zealand,45.0,,50,MJ Guptill,2018/19,"New Zealand, Sri Lanka",Bay Oval,54,21
1188378,2019-08-20,Deventer,2019-06-21,Zimbabwe tour of Netherlands and Ireland,2.0,male,ODI,4167,Zimbabwe,bat,Netherlands,,3.0,50,,2019,"Netherlands, Zimbabwe",Sportpark Het Schootsveld,51,16
1031671,2020-06-02,Bristol,2017-09-24,West Indies tour of England,3.0,male,ODI,3915,West Indies,field,England,124.0,,50,MM Ali,2017,"England, West Indies",County Ground,50,28
238173,2016-06-19,,2006-04-23,Australia in Bangladesh ODI Series,1.0,male,ODI,2365,Bangladesh,bat,Australia,,4.0,50,AC Gilchrist,2005/06,"Bangladesh, Australia",Chittagong Divisional Stadium,28,8
656401,2015-02-16,,2015-02-14,ICC Cricket World Cup,2.0,male,ODI,3600,England,field,Australia,111.0,,50,AJ Finch,2014/15,"Australia, England",Melbourne Cricket Ground,61,5
489221,2011-06-17,Trinidad,2011-06-06,India in West Indies ODI Series,1.0,male,ODI,3159,West Indies,bat,India,,4.0,50,RG Sharma,2011,"West Indies, India","Queen's Park Oval, Port of Spain",26,7
743977,2015-09-04,Southampton,2015-09-03,Australia in England ODI Series,1.0,male,ODI,3680,Australia,bat,Australia,59.0,,50,MS Wade,2015,"England, Australia",The Rose Bowl,59,5
